常一线产率,常二线产率,常三线产率
0.124,0.154,0.058
0.115,0.158,0.064
0.111,0.149,0.038
0.1,0.162,0.064
0.111,0.162,0.049
0.115,0.155,0.034
0.119,0.144,0.049
0.122,0.14,0.029
0.118,0.156,0.043
0.111,0.152,0.054
0.118,0.148,0.05
0.135,0.15,0.063
0.12,0.145,0.052
0.125,0.143,0.033
0.118,0.149,0.039
0.106,0.16,0.046
0.126,0.152,0.065
0.114,0.155,0.048
0.123,0.145,0.055
0.113,0.16,0.051
0.126,0.151,0.06
0.106,0.162,0.057
0.115,0.15,0.041
0.114,0.158,0.052
0.109,0.157,0.051
0.112,0.163,0.054
0.111,0.16,0.05
0.112,0.144,0.049
0.104,0.167,0.041
0.112,0.153,0.061
0.107,0.165,0.038
0.115,0.151,0.035
0.126,0.142,0.037
0.108,0.161,0.052
0.118,0.143,0.052
0.118,0.153,0.066
0.119,0.153,0.054
0.116,0.151,0.061
0.101,0.165,0.058
0.119,0.149,0.038
0.126,0.149,0.061
0.111,0.158,0.051
0.112,0.158,0.064
0.11,0.16,0.046
0.108,0.161,0.043
0.116,0.148,0.053
0.121,0.148,0.034
0.124,0.154,0.06
0.121,0.149,0.038
0.103,0.164,0.041
0.106,0.155,0.048
0.114,0.151,0.062
0.114,0.146,0.05
0.113,0.149,0.065
0.11,0.161,0.052
0.107,0.16,0.041
0.121,0.146,0.053
0.117,0.139,0.045
0.108,0.144,0.052
0.108,0.154,0.051
0.128,0.145,0.033
0.125,0.142,0.054
0.106,0.16,0.051
0.105,0.166,0.062
0.115,0.156,0.053
0.119,0.152,0.06
0.11,0.162,0.049
0.115,0.155,0.042
0.105,0.169,0.061
0.097,0.159,0.065
0.109,0.155,0.062
0.127,0.143,0.033
0.115,0.163,0.052
0.122,0.144,0.034
0.111,0.153,0.048
0.121,0.156,0.061
0.111,0.163,0.051
0.122,0.148,0.051
0.115,0.147,0.052
0.107,0.157,0.055
0.107,0.157,0.055
0.111,0.16,0.05
0.117,0.15,0.042
0.117,0.158,0.039
0.112,0.161,0.055
0.118,0.141,0.055
0.113,0.145,0.051
0.108,0.153,0.052
0.118,0.154,0.05
0.116,0.147,0.046
0.121,0.158,0.064
0.11,0.167,0.054
0.113,0.159,0.053
0.115,0.149,0.057
0.113,0.143,0.049
0.104,0.162,0.046
0.101,0.166,0.064
0.109,0.153,0.052
0.122,0.155,0.056
0.123,0.154,0.035
0.122,0.147,0.032
0.118,0.147,0.035
0.104,0.16,0.044
0.117,0.143,0.056
0.127,0.151,0.068
0.111,0.152,0.062
0.12,0.148,0.053
0.102,0.161,0.06
0.124,0.145,0.053
0.126,0.144,0.037
0.114,0.156,0.056
0.123,0.149,0.059
0.12,0.143,0.038
0.121,0.147,0.032
0.129,0.147,0.034
0.12,0.149,0.048
0.114,0.152,0.04
0.114,0.15,0.049
0.112,0.163,0.047
0.128,0.156,0.062
0.095,0.162,0.063
0.12,0.138,0.05
0.109,0.159,0.046
0.115,0.154,0.055
0.119,0.148,0.036
0.11,0.158,0.052
0.114,0.161,0.054
0.122,0.144,0.059
0.11,0.16,0.053
0.098,0.163,0.06
0.105,0.164,0.039
0.122,0.149,0.039
0.125,0.155,0.04
0.111,0.161,0.05
0.107,0.164,0.064
0.122,0.146,0.054
0.121,0.144,0.035
0.12,0.155,0.05
0.106,0.162,0.066
0.115,0.146,0.051
0.115,0.159,0.044
0.126,0.145,0.035
0.109,0.159,0.054
0.111,0.158,0.049
0.109,0.16,0.052
0.111,0.162,0.055
0.11,0.159,0.048
0.119,0.145,0.03
0.118,0.153,0.039
0.101,0.163,0.061
0.111,0.154,0.053
0.107,0.156,0.047
0.12,0.146,0.052
0.12,0.151,0.033
0.109,0.158,0.049
0.12,0.144,0.048
0.107,0.161,0.044
0.117,0.152,0.061
0.119,0.147,0.038
0.122,0.144,0.049
0.115,0.145,0.052
0.111,0.161,0.046
0.124,0.15,0.066
0.107,0.161,0.05
0.12,0.149,0.06
0.119,0.146,0.033
0.105,0.165,0.065
0.112,0.155,0.055
0.113,0.155,0.058
0.128,0.139,0.039
0.113,0.143,0.052
0.115,0.156,0.05
0.114,0.145,0.049
0.104,0.163,0.065
0.122,0.148,0.054
0.115,0.149,0.051
0.115,0.152,0.04
0.124,0.149,0.035
0.111,0.162,0.056
0.113,0.159,0.053
0.101,0.163,0.048
0.113,0.148,0.049
0.121,0.15,0.039
0.112,0.153,0.039
0.102,0.164,0.064
0.115,0.149,0.057
0.118,0.15,0.036
0.109,0.157,0.051
0.117,0.146,0.053
0.104,0.166,0.045
0.118,0.15,0.065
0.122,0.143,0.032
0.107,0.161,0.04
0.125,0.152,0.035
0.117,0.158,0.065
0.113,0.161,0.047
0.121,0.156,0.062
0.119,0.156,0.038
0.108,0.155,0.048
0.124,0.146,0.04
0.123,0.15,0.038
0.098,0.16,0.061
0.117,0.142,0.047
0.112,0.148,0.053
0.113,0.159,0.051
0.111,0.152,0.051
0.117,0.152,0.036
0.124,0.142,0.034
0.123,0.147,0.065
0.114,0.156,0.038
0.115,0.162,0.051
0.117,0.146,0.053
0.111,0.161,0.051
0.107,0.162,0.043
0.125,0.15,0.04
0.106,0.16,0.065
0.114,0.157,0.048
0.095,0.156,0.055
0.116,0.154,0.057
0.111,0.147,0.051
0.127,0.146,0.037
0.113,0.159,0.047
0.101,0.164,0.06
0.121,0.15,0.041
0.116,0.164,0.052
0.123,0.142,0.029
0.116,0.153,0.037
0.112,0.162,0.049
0.119,0.144,0.05
0.115,0.154,0.065
0.129,0.15,0.063
0.114,0.155,0.045
0.117,0.162,0.055
0.115,0.158,0.049
0.111,0.155,0.053
0.122,0.147,0.051
0.104,0.157,0.051
0.117,0.154,0.052
0.111,0.164,0.056
0.111,0.158,0.05
0.112,0.145,0.047
0.108,0.164,0.057
0.121,0.151,0.038
0.121,0.149,0.038
0.124,0.147,0.031
0.109,0.16,0.041
0.125,0.148,0.034
0.116,0.137,0.056
0.11,0.158,0.055
0.112,0.157,0.056
0.105,0.16,0.043
0.109,0.162,0.04
0.12,0.151,0.039
0.11,0.156,0.053
0.126,0.154,0.068
0.116,0.156,0.049
0.126,0.157,0.059
0.116,0.145,0.055
0.122,0.155,0.039
0.101,0.161,0.065
0.114,0.155,0.061
0.125,0.15,0.039
0.113,0.16,0.049
0.106,0.159,0.041
0.11,0.164,0.048
0.125,0.155,0.057
0.107,0.161,0.045
0.111,0.157,0.056
0.115,0.147,0.061
0.109,0.156,0.053
0.122,0.152,0.036
0.119,0.148,0.054
0.11,0.165,0.039
0.123,0.153,0.031
0.117,0.153,0.037
0.122,0.149,0.04
0.113,0.153,0.063
0.109,0.162,0.047
0.114,0.153,0.058
0.122,0.145,0.032
0.126,0.149,0.04
0.124,0.141,0.025
0.117,0.145,0.054
0.122,0.148,0.059
0.115,0.153,0.051
0.109,0.155,0.052
0.111,0.157,0.05
0.118,0.141,0.049
0.121,0.151,0.032
0.105,0.158,0.043
0.119,0.145,0.032
0.124,0.149,0.059
0.106,0.159,0.058
0.115,0.148,0.039
0.115,0.148,0.047
0.124,0.151,0.035
0.114,0.151,0.051
0.106,0.16,0.061
0.112,0.169,0.046
0.113,0.154,0.056
0.126,0.156,0.064
0.109,0.153,0.04
0.124,0.154,0.065
0.108,0.162,0.056
0.111,0.165,0.047
0.118,0.153,0.05
0.113,0.159,0.052
0.111,0.155,0.064
0.116,0.141,0.05
0.116,0.149,0.058
0.119,0.144,0.052
0.099,0.163,0.059
0.111,0.161,0.051
0.114,0.154,0.061
0.12,0.149,0.036
0.108,0.164,0.053
0.116,0.154,0.05
0.11,0.153,0.033
